topic,subtopic,name,equation_latex,description_from_image,formula_in_plain_english,description_from_gemini,sympy_formula
Physical Fundamentals of Mechanics,Kinematics,Average Velocity Vector,\langle \mathbf{v} \rangle = \frac{\Delta \mathbf{r}}{\Delta t},Average vectors of velocity and acceleration of a point: where $\Delta \mathbf{r}$ is the displacement vector (an increment of a radius vector).,The average velocity vector is equal to the change in the position vector divided by the change in time.,"This formula defines the average velocity vector as the total displacement divided by the total time taken. It represents the overall rate and direction of change in position over a time interval, not the instantaneous velocity.","Eq(v_avg_vec, Delta_r_vec/Delta_t)"
Physical Fundamentals of Mechanics,Kinematics,Average Acceleration Vector,\langle \mathbf{w} \rangle = \frac{\Delta \mathbf{v}}{\Delta t},Average vectors of velocity and acceleration of a point:,The average acceleration vector is equal to the change in the velocity vector divided by the change in time.,This formula defines the average acceleration vector as the total change in velocity divided by the total time taken. It describes the overall rate and direction of change in velocity over a time interval.,"Eq(w_avg_vec, Delta_v_vec/Delta_t)"
Physical Fundamentals of Mechanics,Kinematics,Instantaneous Velocity Vector,\mathbf{v} = \frac{d\mathbf{r}}{dt},Velocity and acceleration of a point:,The instantaneous velocity vector is the time derivative of the position vector.,This formula defines the instantaneous velocity vector as the derivative of the position vector with respect to time. It gives the exact velocity (speed and direction) of a point at a specific moment.,"Eq(v_vec, Derivative(r_vec, t))"
Physical Fundamentals of Mechanics,Kinematics,Instantaneous Acceleration Vector,\mathbf{w} = \frac{d\mathbf{v}}{dt},Velocity and acceleration of a point:,The instantaneous acceleration vector is the time derivative of the velocity vector.,This formula defines the instantaneous acceleration vector as the derivative of the velocity vector with respect to time. It gives the exact acceleration (rate of change of velocity) of a point at a specific moment.,"Eq(w_vec, Derivative(v_vec, t))"
Physical Fundamentals of Mechanics,Kinematics,Tangential Acceleration,w_{\tau} = \frac{dv_{\tau}}{dt},Acceleration of a point expressed in projections on the tangent and the normal to a trajectory: where $R$ is the radius of curvature of the trajectory at the given point.,The tangential component of acceleration is the time derivative of the tangential component of velocity.,"This formula defines the tangential component of acceleration, which is responsible for changing the magnitude (speed) of the velocity vector. It is the rate of change of the speed along the trajectory.","Eq(w_tau, Derivative(v_tau, t))"
Physical Fundamentals of Mechanics,Kinematics,Normal (Centripetal) Acceleration,w_{n} = \frac{v^{2}}{R},Acceleration of a point expressed in projections on the tangent and the normal to a trajectory: where $R$ is the radius of curvature of the trajectory at the given point.,The normal component of acceleration is equal to the square of the speed divided by the radius of curvature.,"This formula defines the normal (or centripetal) component of acceleration, which is responsible for changing the direction of the velocity vector. It points towards the center of curvature and is essential for circular or curved motion.","Eq(w_n, v**2/R)"
Physical Fundamentals of Mechanics,Kinematics,Distance Covered,"s = \int v \, dt",Distance covered by a point: where $v$ is the *modulus* of the velocity vector of a point.,The distance covered is the integral of the speed with respect to time.,"This formula calculates the total distance traveled by a point by integrating its speed (the magnitude of its velocity) over time. It accounts for the path length, regardless of direction changes.","Eq(s, Integral(v, t))"
Physical Fundamentals of Mechanics,Kinematics,Angular Velocity Vector,\boldsymbol{\omega} = \frac{d\boldsymbol{\varphi}}{dt},Angular velocity and angular acceleration of a solid body:,The angular velocity vector is the time derivative of the angular displacement vector.,This formula defines the instantaneous angular velocity vector as the rate of change of the angular displacement vector. It describes how fast and in what direction a body is rotating.,"Eq(omega_vec, Derivative(phi_vec, t))"
Physical Fundamentals of Mechanics,Kinematics,Angular Acceleration Vector,\boldsymbol{\beta} = \frac{d\boldsymbol{\omega}}{dt},Angular velocity and angular acceleration of a solid body:,The angular acceleration vector is the time derivative of the angular velocity vector.,This formula defines the instantaneous angular acceleration vector as the rate of change of the angular velocity vector. It describes how fast the angular velocity of a rotating body is changing.,"Eq(beta_vec, Derivative(omega_vec, t))"
Physical Fundamentals of Mechanics,Kinematics,Linear Velocity from Angular Velocity,\mathbf{v} = [\boldsymbol{\omega}\mathbf{r}],"Relation between linear and angular quantities for a rotating solid body: where $\mathbf{r}$ is the radius vector of the considered point relative to an arbitrary point on the rotation axis, and $R$ is the distance from the rotation axis.",The linear velocity vector is the vector cross product of the angular velocity vector and the position vector.,This formula relates the linear velocity of a point in a rotating body to its angular velocity and its position vector relative to the axis of rotation. The square brackets denote the vector cross product.,"Eq(v_vec, Cross(omega_vec, r_vec))"
Physical Fundamentals of Mechanics,Kinematics,Normal Acceleration from Angular Velocity,w_{n} = \omega^{2}R,Relation between linear and angular quantities for a rotating solid body: where $R$ is the distance from the rotation axis.,The normal component of acceleration is equal to the square of the angular speed multiplied by the distance from the rotation axis.,"This formula provides an alternative way to calculate the normal (centripetal) acceleration for a point in a rotating body, using its angular speed and its perpendicular distance from the axis of rotation.","Eq(w_n, omega**2*R)"
Physical Fundamentals of Mechanics,Kinematics,Tangential Acceleration from Angular Acceleration,|w_{\tau}| = \beta R,Relation between linear and angular quantities for a rotating solid body: where $R$ is the distance from the rotation axis.,The magnitude of the tangential component of acceleration is equal to the angular acceleration multiplied by the distance from the rotation axis.,This formula relates the magnitude of the tangential acceleration of a point in a rotating body to its angular acceleration and its perpendicular distance from the axis of rotation. It describes the component of acceleration that changes the linear speed.,"Eq(Abs(w_tau), beta*R)"
Physical Fundamentals of Mechanics,The Fundamental Equation of Dynamics,Newton's Second Law,m \frac{d\mathbf{v}}{dt} = \mathbf{F},The fundamental equation of dynamics of a mass point (Newton's second law),Mass times the time derivative of the velocity vector equals the net force vector.,"This fundamental law of classical mechanics states that the net force acting on an object is directly proportional to the rate of change of its momentum, or, for a constant mass, equal to the product of its mass and acceleration. It describes how an object's motion changes in response to external forces and is used to analyze the dynamics of objects in inertial reference frames.","Eq(m * Derivative(v_vec, t), F_vec)"
Physical Fundamentals of Mechanics,The Fundamental Equation of Dynamics,Tangential Component of Newton's Second Law,m \frac{dv_{\tau}}{dt} = F_{\tau},The same equation expressed in projections on the tangent and the normal of the point's trajectory,Mass times the time derivative of the tangential speed equals the tangential component of the net force.,This equation describes the component of Newton's second law that governs the change in an object's speed along its path. The tangential force causes the object to speed up or slow down. It is used in curvilinear motion analysis to determine how the magnitude of velocity changes.,"Eq(m * Derivative(v_tau, t), F_tau)"
Physical Fundamentals of Mechanics,The Fundamental Equation of Dynamics,Normal Component of Newton's Second Law (Centripetal Force),m \frac{v^2}{R} = F_n,The same equation expressed in projections on the tangent and the normal of the point's trajectory,Mass times the square of the speed divided by the radius of curvature equals the normal component of the net force.,"This equation describes the component of Newton's second law that governs the change in an object's direction. The normal force, also known as centripetal force, acts perpendicular to the trajectory, towards the center of curvature, and is responsible for keeping the object on its curved path. It is crucial for analyzing circular and curvilinear motion.","Eq(m * v**2 / R, F_n)"
Physical Fundamentals of Mechanics,The Fundamental Equation of Dynamics,Equation of Dynamics in a Non-Inertial Frame,m\mathbf{w}' = \mathbf{F} - m\mathbf{w}_0 + m\omega^2\mathbf{R} + 2m[\mathbf{v}'\omega],The equation of dynamics of a point in the non-inertial reference frame $K'$ which rotates with a constant angular velocity $\omega$ about an axis translating with an acceleration $\mathbf{w}_0$,Mass times the acceleration in the rotating frame equals the real force minus mass times the acceleration of the origin plus the centrifugal force term plus the Coriolis force term.,"This equation extends Newton's second law to non-inertial reference frames, specifically those that are both translating and rotating. It includes fictitious forces: -m*w_0 (due to the translation of the frame's origin), m*omega^2*R (centrifugal force, acting radially outward from the axis of rotation), and 2m*[v'*omega] (Coriolis force, perpendicular to both velocity and angular velocity). It is used to analyze motion in systems like the Earth (rotating) or accelerating vehicles.","Eq(m * w_prime_vec, F_vec - m * w_0_vec + m * (omega_vec.dot(omega_vec)) * R_vec + 2 * m * v_prime_vec.cross(omega_vec))"
Physical Fundamentals of Mechanics,"Laws of Conservation of Energy, Momentum, and Angular Momentum",Work done by a force (vector form),"A = \int \mathbf{F} \, d\mathbf{r}",Work of the force $\mathbf{F}$,Work A is equal to the line integral of the dot product of force vector F and infinitesimal displacement vector dr.,This formula defines the work done by a force $\mathbf{F}$ as a particle moves along a path. It is calculated as the line integral of the force vector dotted with the infinitesimal displacement vector. It quantifies the energy transferred by the force over a displacement.,"Eq(A, Integral(F_dot_dr_scalar_integrand, path_variable))"
Physical Fundamentals of Mechanics,"Laws of Conservation of Energy, Momentum, and Angular Momentum",Work done by a force (scalar form),"A = \int F_s \, ds",Work of the force $\mathbf{F}$,Work A is equal to the integral of the scalar component of force F_s along the path ds.,This formula defines the work done by a force $\mathbf{F}$ as a particle moves along a path. It calculates work by integrating the component of the force acting along the direction of displacement ($F_s$) over the path length ($s$). It's useful when the force direction relative to the path is known.,"Eq(A, Integral(F_s, s))"
Physical Fundamentals of Mechanics,"Laws of Conservation of Energy, Momentum, and Angular Momentum",Power of a force,P = \mathbf{F}\mathbf{v},Power of the force $\mathbf{F}$,Power P is equal to the dot product of the force vector F and the velocity vector v.,This formula defines the instantaneous power delivered by a force $\mathbf{F}$ acting on an object moving with velocity $\mathbf{v}$. Power is the rate at which work is done or energy is transferred. It is used to calculate how quickly energy is being supplied or removed from a system.,"Eq(P, F_dot_v_scalar_product)"
Physical Fundamentals of Mechanics,"Laws of Conservation of Energy, Momentum, and Angular Momentum",Work-energy theorem (kinetic energy),T_2 - T_1 = A,Increment of the kinetic energy of a particle,"The change in kinetic energy, T2 minus T1, is equal to the work A performed by all forces.",This is the work-energy theorem for a particle. It states that the net work done on a particle by all forces acting on it is equal to the change in its kinetic energy. It's used to relate forces and displacement to changes in motion.,"Eq(T2 - T1, A)"
Physical Fundamentals of Mechanics,"Laws of Conservation of Energy, Momentum, and Angular Momentum",Work done by conservative forces,A = U_1 - U_2,Work performed by the forces of a field is equal to the decrease of the potential energy of a particle in the given field,Work A is equal to the initial potential energy U1 minus the final potential energy U2.,"This formula relates the work done by a conservative force (like gravity or an electrostatic force) to the change in potential energy. The work done by such a force is equal to the negative of the change in potential energy, or the decrease in potential energy. It's used to calculate work when potential energy is defined.","Eq(A, U1 - U2)"
Physical Fundamentals of Mechanics,"Laws of Conservation of Energy, Momentum, and Angular Momentum",Force from potential energy,\mathbf{F} = -\nabla U,Relationship between the force of a field and the potential energy of a particle in the field,The force vector F is equal to the negative gradient of the potential energy U.,This fundamental relationship states that a conservative force field $\mathbf{F}$ can be derived from a scalar potential energy function $U$. The force points in the direction of the steepest decrease in potential energy. It's used to find the force acting on a particle if its potential energy function is known.,"Eq(F_vec, -gradient_U_vec)"
Physical Fundamentals of Mechanics,"Laws of Conservation of Energy, Momentum, and Angular Momentum",Change in total mechanical energy (particle),E_2 - E_1 = A_{extr},Increment of the total mechanical energy of a particle in a given potential field,"The change in total mechanical energy, E2 minus E1, is equal to the work A_extr performed by all extraneous forces.","This formula describes the change in the total mechanical energy (kinetic + potential) of a particle in a potential field. The change is equal to the work done by non-conservative or ""extraneous"" forces, meaning forces not associated with the defined potential energy. It's used to analyze energy conservation when external non-conservative forces are present.","Eq(E2 - E1, A_extr)"
Physical Fundamentals of Mechanics,"Laws of Conservation of Energy, Momentum, and Angular Momentum",Change in total mechanical energy (system),E_2 - E_1 = A_{ext} + A_{int}^{noncons},Increment of the total mechanical energy of a system,"The change in total mechanical energy of a system, E2 minus E1, is equal to the sum of the work done by external forces A_ext and the work done by internal non-conservative forces A_int_noncons.","This formula extends the concept of mechanical energy change to a system of particles. The change in the system's total mechanical energy is due to work done by external forces and work done by internal non-conservative forces (e.g., friction between system components). It's used for energy analysis of multi-particle systems.","Eq(E2 - E1, A_ext + A_int_noncons)"
Physical Fundamentals of Mechanics,"Laws of Conservation of Energy, Momentum, and Angular Momentum",Newton's second law (momentum form),d\mathbf{p}/dt = \mathbf{F},Law of momentum variation of a system,The time rate of change of the total momentum vector p is equal to the net external force vector F.,"This is Newton's second law expressed in terms of momentum. It states that the net external force acting on a system is equal to the rate of change of its total momentum. It's a fundamental principle used to analyze the motion of objects and systems, especially in situations involving variable mass or collisions.","Eq(Derivative(p_vec, t), F_vec)"
Physical Fundamentals of Mechanics,"Laws of Conservation of Energy, Momentum, and Angular Momentum",Equation of motion for center of mass,m \frac{d\mathbf{v}_C}{dt} = \mathbf{F},Equation of motion of the system’s centre of inertia,The total mass m multiplied by the time rate of change of the velocity vector of the center of mass v_C is equal to the net external force vector F.,This equation describes the motion of the center of mass (or center of inertia) of a system of particles. It states that the total mass of the system times the acceleration of its center of mass is equal to the net external force acting on the system. It simplifies the analysis of complex systems by treating them as a single point mass at the center of mass.,"Eq(m * Derivative(v_C_vec, t), F_vec)"
Physical Fundamentals of Mechanics,"Laws of Conservation of Energy, Momentum, and Angular Momentum",Kinetic energy of a system,T = \widetilde{T} + \frac{mv_C^2}{2},Kinetic energy of a system,The total kinetic energy T of a system is equal to the kinetic energy relative to the center of inertia T_tilde plus one-half times the total mass m times the square of the velocity of the center of mass v_C.,"This formula decomposes the total kinetic energy of a system into two parts: the kinetic energy of motion relative to the center of mass ($\widetilde{T}$) and the kinetic energy of the center of mass itself. It's useful for analyzing systems where both internal motion and overall translation are important, such as rotating and translating rigid bodies.","Eq(T, T_tilde + m * v_C**2 / 2)"
Physical Fundamentals of Mechanics,"Laws of Conservation of Energy, Momentum, and Angular Momentum",Equation of motion for variable mass system,m \frac{d\mathbf{v}}{dt} = \mathbf{F} + \frac{dm}{dt} \mathbf{u},Equation of dynamics of a body with variable mass,The mass m multiplied by the time rate of change of the velocity vector v is equal to the net external force vector F plus the time rate of change of mass dm/dt multiplied by the relative velocity vector u of the separated or gained substance.,"This is the Tsiolkovsky rocket equation (or more generally, the equation of motion for a variable mass system). It accounts for the change in momentum due to mass being ejected from (or added to) the system. The term $(dm/dt)\mathbf{u}$ represents the thrust force (or drag force if mass is gained). It's crucial for analyzing rockets, jets, and other systems where mass changes over time.","Eq(m * Derivative(v_vec, t), F_vec + Derivative(m, t) * u_vec)"
Physical Fundamentals of Mechanics,"Laws of Conservation of Energy, Momentum, and Angular Momentum",Law of angular momentum variation,\frac{d\mathbf{M}}{dt} = \mathbf{N},"where $\mathbf{M}$ is the angular momentum of the system, and $\mathbf{N}$ is the total moment of all external forces.",The time rate of change of the angular momentum of a system is equal to the total moment of all external forces acting on the system.,"This equation, often referred to as the angular impulse-momentum theorem or rotational form of Newton's second law, states that the net external torque ($\mathbf{N}$) acting on a system is equal to the rate of change of its total angular momentum ($\mathbf{M}$). It is fundamental for analyzing the rotational dynamics of rigid bodies and systems of particles, particularly when external torques cause changes in their rotational state.","from sympy import Symbol, Eq, Derivative; M = Symbol('M'); t = Symbol('t'); N = Symbol('N'); Eq(Derivative(M, t), N)"
